tDays,Actual day,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29
1.59025463,44.59025463,263186,34772,7.568906016,583,65505,1145,65303,1843,4220,3945,6601,11832,5126,960,222,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.594421296,44.5944213,260809,34766,7.501840879,571,65504,1145,65308,1929,4363,4133,6295,11623,5288,917,187,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.598587963,44.59858796,260962,34763,7.506889509,577,65505,1142,65304,1914,4384,4209,6248,11664,5188,924,198,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60275463,44.60275463,260306,34752,7.490389042,578,65511,1142,65305,1919,4290,4352,6194,11623,5209,926,219,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.606921296,44.6069213,263713,34753,7.588208212,578,65504,1148,65300,1930,4379,4263,6060,11627,5289,967,199,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.611087963,44.61108796,262609,34754,7.556223744,575,65504,1148,65300,1946,4445,4166,6110,11412,5513,942,194,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.61525463,44.61525463,266191,34754,7.659291017,575,65505,1148,65302,1853,4321,4305,6041,11491,5547,965,190,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.619421296,44.6194213,270259,34755,7.776118544,575,65505,1147,65304,1804,4277,4221,5991,11443,5773,1002,215,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.623587963,44.62358796,265938,34748,7.653332566,574,65504,1144,65310,1855,4294,4182,5974,11555,5711,970,187,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.62775463,44.62775463,269468,34747,7.755144329,575,65510,1144,65308,1837,4426,4247,5895,11351,5755,985,212,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.631921296,44.6319213,265156,34741,7.632365217,575,65505,1148,65300,1915,4362,4193,6024,11469,5613,929,206,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.636087963,44.63608796,267102,34756,7.685061572,572,65505,1148,65308,1886,4442,4276,5835,11468,5619,993,203,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.64025463,44.64025463,265703,34746,7.647009728,571,65507,1148,65304,1891,4523,4522,5700,11165,5757,951,203,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.644421296,44.6444213,270112,34752,7.772559853,575,65504,1144,65311,1872,4320,4396,5698,11378,5887,947,220,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.648587963,44.64858796,267575,34758,7.698227746,574,65505,1144,65307,1912,4351,4282,5773,11484,5767,960,197,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.65275463,44.65275463,268949,34749,7.739762295,574,65513,1144,65302,1865,4401,4412,5713,11221,5920,986,203,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.656921296,44.6569213,268041,34748,7.713854035,574,65507,1145,65304,1959,4439,4391,5633,11204,5948,934,211,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.661087963,44.66108796,269583,34756,7.75644493,574,65507,1144,65302,1886,4391,4404,5624,11288,5968,967,190,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.66525463,44.66525463,269312,34752,7.749539595,571,65505,1151,65299,1999,4522,4433,5453,11086,6073,938,213,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.669421296,44.6694213,269241,34740,7.750172712,571,65505,1145,65302,1921,4449,4454,5569,11169,5990,945,206,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.673587963,44.67358796,271534,34743,7.815502403,574,65504,1144,65310,1853,4478,4416,5472,11242,6058,978,212,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.67775463,44.67775463,273076,34745,7.859433012,572,65504,1147,65299,1841,4344,4222,5606,11535,5993,941,224,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.681921296,44.6819213,270617,34748,7.787987798,571,65504,1148,65305,1952,4373,4410,5570,11293,5938,958,213,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.686087963,44.68608796,272592,34755,7.843245576,575,65505,1144,65308,1859,4466,4453,5451,11143,6171,950,231,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69025463,44.69025463,275488,34753,7.927027882,572,65504,1144,65299,1971,4440,4424,5260,11047,6387,951,237,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.694421296,44.6944213,278754,34740,8.024006908,572,65505,1150,65302,1876,4282,4454,5257,11227,6322,1066,210,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.698587963,44.69858796,272832,34750,7.851280576,574,65507,1144,65304,1988,4392,4470,5361,11035,6265,1002,201,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.70275463,44.70275463,275586,34749,7.930760597,574,65507,1150,65307,2010,4482,4594,5141,10817,6416,1032,219,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.706921296,44.7069213,269879,34737,7.769208625,572,65504,1144,65304,1957,4839,4604,5086,10756,6268,974,227,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.711087963,44.71108796,269229,34737,7.750496589,574,65510,1145,65302,2031,4613,4612,5182,10857,6272,933,199,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71525463,44.71525463,270267,34735,7.780826256,574,65510,1145,65304,2005,4585,4553,5194,10915,6266,987,200,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.719421296,44.7194213,275581,34745,7.931529717,571,65505,1144,65304,1922,4449,4494,5254,10947,6395,1033,218,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.723587963,44.72358796,271044,34746,7.800725263,575,65504,1148,65310,1939,4506,4537,5258,11016,6285,976,204,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.72775463,44.72775463,270922,34734,7.799907871,571,65507,1145,65295,1989,4556,4641,5115,10886,6322,1002,197,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.731921296,44.7319213,273772,34745,7.879464671,575,65507,1148,65299,1955,4524,4488,5194,10923,6413,1019,196,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.736087963,44.73608796,274561,34748,7.901490733,574,65504,1144,65304,1943,4631,4425,5206,10844,6468,979,218,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.74025463,44.74025463,275250,34737,7.923827619,575,65507,1144,65297,1933,4576,4415,5175,11025,6305,1051,228,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.744421296,44.7444213,275116,34749,7.917235028,575,65504,1145,65302,1884,4470,4475,5270,11011,6429,962,203,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.748587963,44.74858796,273086,34742,7.860399516,575,65507,1148,65304,1900,4372,4483,5415,11063,6273,1004,203,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.75275463,44.75275463,274378,34757,7.89417959,571,65507,1144,65308,1940,4410,4430,5295,11069,6367,1015,198,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.756921296,44.7569213,272676,34756,7.845436759,575,65504,1147,65308,1919,4470,4543,5212,11054,6333,988,212,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.761087963,44.76108796,277031,34756,7.970738865,574,65503,1144,65304,1853,4375,4434,5185,11117,6554,1009,195,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.76525463,44.76525463,277173,34755,7.975053949,575,65507,1144,65308,1879,4411,4315,5321,10996,6586,997,227,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.769421296,44.7694213,273890,34752,7.88127302,578,65504,1144,65308,1886,4500,4377,5395,11050,6328,976,200,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.773587963,44.77358796,278546,34744,8.017096477,575,65507,1144,65303,1832,4162,4252,5388,11339,6545,998,193,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.77775463,44.77775463,272046,34757,7.827085191,575,65505,1148,65304,1931,4340,4551,5509,11015,6146,1018,220,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.781921296,44.7819213,274933,34753,7.911058038,575,65504,1144,65311,1886,4315,4205,5486,11369,6268,994,191,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.786087963,44.78608796,275318,34746,7.923732228,578,65510,1144,65304,1870,4320,4287,5384,11355,6312,975,209,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.79025463,44.79025463,271629,34752,7.816212017,575,65505,1144,65311,1789,4305,4396,5523,11345,6221,950,200,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.794421296,44.7944213,275452,34764,7.923484064,578,65505,1145,65310,1911,4260,4238,5437,11407,6281,972,235,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.798587963,44.79858796,272332,34756,7.835539187,577,65505,1144,65302,1782,4308,4244,5596,11476,6146,989,192,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.80275463,44.80275463,271516,34763,7.810488163,578,65507,1147,65304,1920,4362,4361,5564,11264,6097,942,221,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.806921296,44.8069213,272161,34761,7.829492822,575,65504,1144,65304,1915,4391,4353,5494,11164,6260,954,193,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.811087963,44.81108796,271007,34758,7.796967605,580,65504,1143,65308,1855,4231,4150,5957,11413,5955,962,202,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.81525463,44.81525463,269363,34761,7.749000316,577,65503,1147,65302,1868,4403,4148,5706,11594,5854,946,218,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.819421296,44.8194213,267955,34762,7.708273402,577,65507,1144,65302,1935,4347,4170,5833,11464,5854,945,177,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.823587963,44.82358796,266775,34761,7.674549064,575,65505,1145,65304,1844,4339,4346,5794,11457,5850,904,198,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.82775463,44.82775463,266968,34763,7.679659408,578,65504,1145,65304,1881,4232,4416,5790,11467,5808,960,178,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.831921296,44.8319213,270396,34761,7.778717528,578,65507,1151,65304,1826,4280,4178,5816,11472,5994,985,185,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.836087963,44.83608796,270230,34764,7.7732712,571,65502,1148,65311,1842,4210,4222,5980,11435,5894,948,194,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.84025463,44.84025463,271483,34762,7.809763535,577,65507,1150,65297,1818,4269,4121,5915,11546,5868,981,212,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.844421296,44.8444213,266938,34760,7.679459148,578,65503,1145,65308,1858,4414,4258,5810,11408,5877,913,194,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.848587963,44.84858796,269083,34759,7.741390719,578,65507,1142,65311,1833,4241,4209,5852,11607,5842,945,203,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.85275463,44.85275463,269916,34774,7.762006097,575,65505,1144,65304,1804,4086,4157,5905,11859,5823,925,178,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.856921296,44.8569213,267191,34763,7.686074274,575,65503,1144,65310,1865,4347,4224,5835,11450,5874,961,184,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.861087963,44.86108796,274030,34763,7.882806432,578,65504,1145,65299,1790,4208,3993,5873,11747,5957,937,218,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.86525463,44.86525463,271190,34760,7.801783659,575,65505,1143,65304,1880,4268,4113,5954,11410,5923,964,217,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.869421296,44.8694213,272649,34767,7.842177927,575,65507,1145,65304,1833,4405,4188,5649,11459,6024,940,239,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.873587963,44.87358796,268834,34759,7.734227107,575,65504,1147,65304,1840,4278,4252,5771,11567,5933,880,211,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.87775463,44.87775463,271916,34761,7.822444694,575,65507,1144,65303,1881,4240,4394,5592,11329,6096,995,210,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.881921296,44.8819213,267572,34758,7.698141435,575,65511,1140,65310,1958,4438,4599,5472,11056,6065,953,185,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.886087963,44.88608796,273291,34760,7.862226697,575,65505,1144,65305,1863,4247,4476,5479,11234,6281,938,210,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.89025463,44.89025463,277021,34767,7.967929358,575,65505,1148,65300,1793,4183,4147,5642,11333,6427,1021,195,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.894421296,44.8944213,271092,34763,7.798291287,572,65504,1144,65304,1836,4284,4328,5686,11378,6098,921,193,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.898587963,44.89858796,271852,34765,7.819703725,572,65505,1147,65302,1797,4312,4452,5513,11385,6094,984,198,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.90275463,44.90275463,270729,34763,7.78784915,574,65507,1148,65305,1906,4501,4416,5455,11133,6121,998,208,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.906921296,44.9069213,272340,34755,7.835994821,575,65505,1144,65303,1813,4476,4540,5302,11157,6250,978,214,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.911087963,44.91108796,268327,34756,7.720307285,575,65504,1144,65304,1921,4531,4610,5324,11208,5978,943,204,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.91525463,44.91525463,267293,34752,7.691442219,575,65507,1147,65304,2010,4641,4532,5253,10932,6232,945,181,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.919421296,44.9194213,269703,34773,7.756103874,575,65507,1144,65310,1858,4525,4625,5402,11092,6077,949,215,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.923587963,44.92358796,269073,34781,7.73620655,575,65504,1145,65305,1946,4529,4642,5341,10827,6333,940,200,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.92775463,44.92775463,269498,34771,7.750654281,571,65504,1148,65308,1927,4540,4655,5118,11009,6398,900,201,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.931921296,44.9319213,277135,34774,7.969603727,574,65504,1145,65303,1927,4459,4494,5052,10963,6616,1032,202,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.936087963,44.93608796,279002,34768,8.024677865,571,65504,1151,65304,1849,4312,4623,4979,10927,6866,982,197,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.94025463,44.94025463,279986,34777,8.050895707,575,65507,1144,65307,1913,4524,4589,4857,10751,6865,1060,181,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.944421296,44.9444213,281997,34770,8.110353753,574,65507,1144,65303,1902,4401,4612,4793,10926,6868,1008,221,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.948587963,44.94858796,282701,34765,8.131770459,569,65507,1144,65305,1918,4395,4691,4773,10593,7090,1070,204,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.95275463,44.95275463,288663,34776,8.300638371,571,65507,1144,65311,1834,4325,4589,4626,10702,7384,1085,184,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.956921296,44.9569213,291623,34777,8.385513414,574,65504,1148,65308,1840,4347,4478,4620,10710,7435,1089,210,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.961087963,44.96108796,288700,34769,8.303373695,569,65507,1145,65304,1769,4284,4410,4781,10781,7471,1034,203,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.96525463,44.96525463,293832,34778,8.448789465,569,65505,1143,65308,1734,4092,4444,4699,10909,7558,1097,205,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.969421296,44.9694213,289957,34768,8.339766452,569,65507,1148,65304,1831,4265,4376,4713,10677,7574,1097,214,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.973587963,44.97358796,293516,34767,8.442373515,569,65507,1144,65308,1711,4136,4354,4762,10879,7614,1055,219,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.97775463,44.97775463,293470,34756,8.443721947,569,65507,1145,65304,1766,4236,4383,4601,10780,7671,1067,214,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.981921296,44.9819213,291959,34758,8.399764083,574,65504,1144,65304,1736,4201,4443,4638,10818,7601,1082,204,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.986087963,44.98608796,297336,34755,8.555200691,569,65504,1145,65304,1795,4120,4350,4563,10671,7854,1140,233,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.99025463,44.99025463,297144,34755,8.549676306,568,65510,1148,65311,1707,4176,4306,4597,10842,7764,1105,211,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.994421296,44.9944213,295104,34769,8.487560758,571,65507,1144,65304,1707,4158,4317,4702,10880,7683,1059,223,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.998587963,44.99858796,299101,34764,8.60375676,569,65511,1144,65303,1688,4047,4373,4823,10895,7473,1174,237,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.00275463,45.00275463,296801,34768,8.536614128,569,65511,1144,65299,1694,4213,4326,4692,10754,7694,1129,223,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.006921296,45.0069213,298488,34775,8.58340762,571,65507,1144,65310,1702,4148,4266,4652,10866,7755,1112,230,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.011087963,45.01108796,293286,34758,8.437942344,569,65504,1148,65304,1684,4160,4395,4798,10807,7566,1094,219,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.01525463,45.01525463,293673,34764,8.447618226,569,65505,1144,65308,1767,4223,4275,4683,10915,7554,1087,222,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.019421296,45.0194213,297381,34761,8.555018555,569,65510,1144,65303,1761,4073,4184,4757,10995,7624,1091,229,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.023587963,45.02358796,291025,34759,8.372651687,569,65507,1142,65305,1764,4057,4314,4943,10923,7429,1083,220,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.02775463,45.02775463,295131,34765,8.489313965,569,65505,1143,65300,1728,4239,4222,4838,10897,7417,1147,235,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.031921296,45.0319213,294243,34757,8.465719136,569,65510,1148,65304,1823,4263,4344,4563,10770,7593,1161,201,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.036087963,45.03608796,295104,34749,8.492445826,569,65504,1147,65310,1717,4104,4462,4667,10676,7803,1057,228,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.04025463,45.04025463,295555,34761,8.502488421,569,65503,1143,65311,1725,4339,4346,4647,10778,7533,1119,222,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.044421296,45.0444213,294233,34748,8.467624036,569,65507,1144,65304,1801,4299,4215,4740,10718,7594,1120,218,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.048587963,45.04858796,290648,34761,8.361324473,569,65504,1144,65311,1787,4232,4372,4752,10847,7413,1109,220,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.05275463,45.05275463,291276,34750,8.382043165,569,65504,1147,65302,1781,4238,4275,4678,10950,7499,1097,199,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.056921296,45.0569213,298608,34762,8.590069616,569,65507,1144,65299,1719,4158,4355,4697,10675,7701,1191,222,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.061087963,45.06108796,301814,34750,8.685294964,568,65507,1145,65308,1732,4206,4166,4565,10695,7955,1154,224,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.06525463,45.06525463,308276,34746,8.872273067,569,65510,1148,65311,1620,3976,4172,4527,10753,8167,1273,209,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.069421296,45.0694213,322736,34738,9.290575163,569,65510,1150,65300,1567,3846,3851,4287,10563,8962,1345,275,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.073587963,45.07358796,344353,34733,9.914289005,563,65507,1148,65307,1407,3431,3393,4352,10597,9625,1606,251,60,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.07775463,45.07775463,350275,34732,10.08508004,563,65511,1139,65310,1329,3271,3214,4402,10853,9651,1670,260,73,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.081921296,45.0819213,350808,34729,10.10129863,562,65507,1145,65304,1383,3324,3278,4270,10565,9882,1680,271,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.086087963,45.08608796,352114,34735,10.13715273,565,65507,1143,65304,1399,3292,3201,4389,10748,9712,1623,273,86,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.09025463,45.09025463,352383,34725,10.14781857,562,65504,1144,65308,1419,3295,3190,4369,10672,9725,1707,257,79,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.094421296,45.0944213,358448,34724,10.32277387,562,65507,1145,65304,1354,3264,3020,4274,10804,9899,1774,238,77,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.098587963,45.09858796,359206,34717,10.34668894,558,65504,1148,65305,1351,3160,3113,4357,10651,9957,1744,287,87,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.10275463,45.10275463,369075,34710,10.63310285,558,65504,1144,65304,1322,3081,2823,4441,10817,9833,1991,287,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.106921296,45.1069213,371130,34719,10.68953599,558,65507,1150,65303,1344,3042,2604,4502,10923,9853,2042,311,84,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.111087963,45.11108796,373028,34716,10.74513193,558,65507,1145,65304,1344,2944,2588,4729,10851,9871,1976,276,115,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.11525463,45.11525463,369752,34704,10.65444905,555,65503,1144,65311,1426,3050,2707,4502,10750,9920,1944,286,101,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.119421296,45.1194213,365805,34701,10.54162704,555,65503,1144,65313,1379,3151,2813,4423,10671,9911,1973,282,85,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.123587963,45.12358796,360378,34695,10.38702983,556,65510,1144,65304,1416,3138,2782,4505,10881,9757,1848,276,77,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.12775463,45.12775463,367793,34712,10.59555773,558,65507,1144,65313,1310,3077,2754,4456,10931,9867,1930,284,82,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.131921296,45.1319213,366924,34704,10.57295989,556,65505,1143,65310,1350,3024,2726,4492,10978,9821,1927,281,88,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.136087963,45.13608796,365583,34721,10.52916103,556,65511,1147,65311,1257,2983,2820,4562,11007,9824,1855,317,86,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.14025463,45.14025463,370931,34719,10.68380426,558,65510,1148,65308,1429,3015,2530,4624,10817,9850,2062,295,80,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.144421296,45.1444213,368428,34713,10.61354536,558,65516,1144,65302,1376,3022,2631,4578,10893,9870,1956,278,90,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.148587963,45.14858796,369441,34714,10.64242093,559,65511,1145,65308,1398,2991,2759,4549,10750,9872,2003,286,86,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
